"PREFIX","MEANING","EXAMPLE"
"a","not, without, lacking, deficient","atypical, anhydrous"
"an","not, without, lacking, deficient","atypical, anhydrous"
"ab","away from","abaxial"
"ad","to, toward","adaxial, adhere"
"adipo","fat","adipocytes"
"aero","air, oxygen","aerobic"
"amphi","of both kinds, both","amphibian"
"anti","against, opposite","antibody"
"aqua","water","aquatic, hydrolysis"
"aquae","water","aquatic, hydrolysis"
"hydr","water","aquatic, hydrolysis"
"arthro","jointed","arthropod"
"auto","self, by itself","autoimmune, autotroph"
"bi","two, twice, double","bilateral, bipedal"
"di","two, twice, double","bilateral, diploid, diploblastic"
"diplo","two, twice, double","bilateral, diploid, diploblastic"
"bio","life, living","biology"
"cardio","heart","cardiomyocyte"
"chloro","green","chlorophyll"
"chrom","color","chromosome"
"cran","skull, head","extracranial"
"cyano","blue","cyanobacteria"
"cyt(o","cell, hollow container","cytoplasm, erythrocyte"
"derm","skin, layer","epidermis"
"ecto","outside of, out","ectoparasite, exothermic"
"exo","outside of, out","ectoparasite, exothermic"
"endo","within, inside","endoskeleton, endothermic"
"ento","in, into, within, inside","endoskeleton, entomology"
"epi","upon, above, over, outer","epiglottis, epidermis"
"gastro","stomach","gastrovascular"
"gen","beginning, birth, origin","genetics, photogenesis"
"glyc","sweet, sugar, glucose","glycogen, glucose"
"gluc","sweet, sugar, glucose","glycogen, glucose"
"hemo","blood","hemoglobin"
"hemato","blood","hematology"
"hetero","different, other","heterozygous, heterotroph"
"histio","tissue","histiology"
"homo","same","homozygous, homeostasis"
"homeo","same","homozygous, homeostasis"
"hyper","over, above, excessive","hyperactive"
"hypo","below, less than normal","hypoglycemia"
"inter","between","intercellular"
"intra","within, inside","intracellular"
"karyo","nucleus, kernel","karyotype, prokaryotic"
"macro","large","macromolecule"
"micro","small","microscope"
"morph","form, shape","morphology, metamorphosis"
"myo","muscle","myoglobin"
"nephro","kidney","nephrotoxic"
"neuro","nerve","neuron"
"osteo","bone","osteoporosis"
"phago","eat, taking over","phagocytosis, bacteriophage"
"photo","light","photosynthesis"
"poly","many, multiple","polymer, polysaccharide"
"pseudo","false","pseudopod"
"sub","under, below","subcutaneous"
"syn","with, together","synthesis, symbiosis"
"sym","with, together","synthesis, symbiosis"
"therm","heat","thermometer"
"tox(o","poison","toxicology, antitoxin"
"uni","one, single","unicellular, monosaccharide"
"mono","one, single","unicellular, monosaccharide"
"zoo","animal","zoology"
"zoa","animal","zooxanthellae, protozoa"
